category,slug,title,url,local_path,bytes
01_LLM工具使用,API_Bank_Li_2023_EMNLP,API-Bank — Li et al.; EMNLP 2023,https://aclanthology.org/2023.emnlp-main.187.pdf,docs/agent_survey_papers/01_LLM工具使用/API_Bank_Li_2023_EMNLP.pdf,779792
01_LLM工具使用,Gorilla_Patil_2024_NeurIPS,Gorilla — Patil et al.; NeurIPS 2024,https://openreview.net/pdf?id=tBRNC6YemY,docs/agent_survey_papers/01_LLM工具使用/Gorilla_Patil_2024_NeurIPS.pdf,1214009
01_LLM工具使用,ReAct_Yao_2023_ICLR,ReAct — Yao et al.; ICLR 2023,https://openreview.net/pdf?id=WE_vluYUL-X,docs/agent_survey_papers/01_LLM工具使用/ReAct_Yao_2023_ICLR.pdf,518217
01_LLM工具使用,StableToolBench_Guo_2024_ACL_Findings,StableToolBench — Guo et al.; Findings ACL 2024,https://aclanthology.org/2024.findings-acl.664.pdf,docs/agent_survey_papers/01_LLM工具使用/StableToolBench_Guo_2024_ACL_Findings.pdf,577968
01_LLM工具使用,Toolformer_Schick_2023_NeurIPS,Toolformer — Schick et al.; NeurIPS 2023,https://arxiv.org/pdf/2302.04761.pdf,docs/agent_survey_papers/01_LLM工具使用/Toolformer_Schick_2023_NeurIPS.pdf,657966
02_规划层级与自主执行,Feudal_RL_Dayan_Hinton_1993_NIPS,Feudal Reinforcement Learning — Dayan & Hinton; NIPS 1993,https://www.cs.toronto.edu/~fritz/absps/dh93.pdf,docs/agent_survey_papers/02_规划层级与自主执行/Feudal_RL_Dayan_Hinton_1993_NIPS.pdf,45507
02_规划层级与自主执行,Generative_Agents_Park_2023_UIST,Generative Agents — Park et al.; UIST 2023,https://arxiv.org/pdf/2304.03442.pdf,docs/agent_survey_papers/02_规划层级与自主执行/Generative_Agents_Park_2023_UIST.pdf,11947867
02_规划层级与自主执行,Options_Framework_Sutton_1999_AI,"Options Framework — Sutton, Precup, Singh; AI 1999",http://incompleteideas.net/papers/SPS-aij.pdf,docs/agent_survey_papers/02_规划层级与自主执行/Options_Framework_Sutton_1999_AI.pdf,829204
02_规划层级与自主执行,RAP_Hao_2023_EMNLP,RAP — Hao et al.; EMNLP 2023,https://aclanthology.org/2023.emnlp-main.507.pdf,docs/agent_survey_papers/02_规划层级与自主执行/RAP_Hao_2023_EMNLP.pdf,731988
02_规划层级与自主执行,Tree_of_Thoughts_Yao_2023_NeurIPS,Tree of Thoughts — Yao et al.; NeurIPS 2023,https://openreview.net/pdf?id=5Xc1ecxO1h,docs/agent_survey_papers/02_规划层级与自主执行/Tree_of_Thoughts_Yao_2023_NeurIPS.pdf,716715
02_规划层级与自主执行,Voyager_Wang_2024_TMLR,Voyager — Wang et al.; TMLR 2024,https://openreview.net/pdf?id=ehfRiF0R3a,docs/agent_survey_papers/02_规划层级与自主执行/Voyager_Wang_2024_TMLR.pdf,13902990
03_多智能体强化学习,MARL_Survey_Ning_2024_JAI,MARL Survey — Ning et al.; Journal of Artificial Intelligence 2024,https://www.sciopen.com/local/article_pdf/10.1016/j.jai.2024.02.003.pdf,docs/agent_survey_papers/03_多智能体强化学习/MARL_Survey_Ning_2024_JAI.pdf,1653906
03_多智能体强化学习,Melting_Pot_Leibo_2021_ICML,Melting Pot — Leibo et al.; ICML 2021,https://proceedings.mlr.press/v139/leibo21a/leibo21a.pdf,docs/agent_survey_papers/03_多智能体强化学习/Melting_Pot_Leibo_2021_ICML.pdf,2228428
03_多智能体强化学习,QMIX_Rashid_2018_NeurIPS,QMIX — Rashid et al.; NeurIPS 2018,https://arxiv.org/pdf/1803.11485.pdf,docs/agent_survey_papers/03_多智能体强化学习/QMIX_Rashid_2018_NeurIPS.pdf,3808951
